タスク ID,タスク名,バケット名,進捗状況,優先度,割り当て先,作成者,作成日,開始日,期限日,定期的,遅延,完了日,完了者,説明,チェックリスト アイテム,完了したチェックリスト アイテム,ラベル
NdqEHfo5zLVV1c5NedU5jLBx6YAA,認証基盤（Entra ID連携）の実装,バックエンド開発,完了,緊急,鈴木 大輔,山本 拓也,2026/05/18,2026/06/08,2026/06/26,いいえ,いいえ,2026/06/25,鈴木 大輔,"Predecessors:fFFaIYtg_HBCbhSu1ZZOPU4j_TAA
OIDCによるSSO。トークン有効期限は60分、リフレッシュは8時間とする。",OIDC設定;トークン検証実装;ロール権限マッピング;単体テスト,OIDC設定;トークン検証実装;ロール権限マッピング;単体テスト,セキュリティ;外部依存
R4Nm7H0EBQCIzVFWrBkc1A2xfbAA,勤怠登録APIの実装,バックエンド開発,進行中,重要,鈴木 大輔;伊藤 翔太,山本 拓也,2026/06/01,2026/06/29,2026/08/14,いいえ,いいえ,,,"Predecessors:fFFaIYtg_HBCbhSu1ZZOPU4j_TAA,NdqEHfo5zLVV1c5NedU5jLBx6YAA
POST /api/v1/attendances。打刻の重複登録を防ぐため、同一日・同一種別のユニーク制約を設ける。",エンドポイント設計;バリデーション実装;単体テスト;APIドキュメント更新,エンドポイント設計;バリデーション実装,
7nF2sW7tPsEi_gbEp9C44hRK2EAA,承認ワークフローAPIの実装,バックエンド開発,進行中,重要,伊藤 翔太,山本 拓也,2026/06/01,2026/07/06,2026/08/21,いいえ,いいえ,,,"Predecessors:R4Nm7H0EBQCIzVFWrBkc1A2xfbAA
多段承認（一次: 上長、二次: 人事）に対応する。差戻し時は申請者に通知。",ステータス遷移設計;API実装;通知連携;単体テスト,ステータス遷移設計;API実装,
HcjfEg3hOaoHVysFrYIemwj3M7AA,月次集計バッチの実装,バックエンド開発,未開始,中,伊藤 翔太,山本 拓也,2026/06/15,2026/08/17,2026/09/11,いいえ,いいえ,,,"Predecessors:R4Nm7H0EBQCIzVFWrBkc1A2xfbAA
毎月1日 02:00 に前月分を集計する。残業時間、深夜労働時間、休日出勤日数を算出。",集計ロジック設計;バッチ実装;リトライ設計,,
1T9SXjXGJkGwWTSFCE0hUBzHKMAA,給与システム連携I/Fの設計,バックエンド開発,進行中,重要,鈴木 大輔,山本 拓也,2026/06/22,2026/07/13,2026/07/31,いいえ,はい,,,"Predecessors:fFFaIYtg_HBCbhSu1ZZOPU4j_TAA
連携先ベンダーの仕様書待ちのため中断中。CSV連携（Shift_JIS, 固定長）が前提。",仕様書入手;レイアウト定義;疎通試験,仕様書入手,外部依存;要対応
sLv6D_kGJVLMgpQbg3nm2lV2DuAA,ログ出力方針の統一,バックエンド開発,未開始,低,,鈴木 大輔,2026/06/29,,,いいえ,いいえ,,,構造化ログ（JSON）に統一する。出力レベルと個人情報のマスキング範囲を決める。,,,技術負債
ALfHSLTUPFrLMAiBZdRfN81fOtAA,共通コンポーネントの実装,フロントエンド開発,完了,中,中村 麻衣,中村 麻衣,2026/06/08,2026/06/15,2026/07/10,いいえ,いいえ,2026/07/09,中村 麻衣,"Predecessors:_RNTZGSSxmWftcinDjalxHWGGdAA
ボタン、フォーム、モーダル、トーストをStorybookに登録する。",Storybook環境構築;コンポーネント実装;レビュー,Storybook環境構築;コンポーネント実装;レビュー,デザイン
xmtNPdukDdkAzSFg9SbSljwrJIAA,ログイン画面の実装,フロントエンド開発,完了,重要,高橋 由紀,中村 麻衣,2026/06/15,2026/06/22,2026/07/17,いいえ,いいえ,2026/07/16,高橋 由紀,"Predecessors:NdqEHfo5zLVV1c5NedU5jLBx6YAA,ALfHSLTUPFrLMAiBZdRfN81fOtAA
Entra IDへのリダイレクト方式。ローカル開発用にモック認証を用意する。",画面実装;認証連携;エラー表示,画面実装;認証連携;エラー表示,
8Tnecic9tpQ2hNZ9mAnBym475pAA,勤怠入力画面の実装,フロントエンド開発,進行中,緊急,高橋 由紀;中村 麻衣,中村 麻衣,2026/06/22,2026/07/20,2026/08/28,いいえ,いいえ,,,"Predecessors:8jbGZ70xNpFZz-up-pKc3XiHR2AA,R4Nm7H0EBQCIzVFWrBkc1A2xfbAA,ALfHSLTUPFrLMAiBZdRfN81fOtAA
打刻ボタンの二重送信を防ぐこと。オフライン時はローカルに保持し、復帰時に再送する。",画面実装;API接続;オフライン対応;単体テスト,画面実装;API接続,要対応
_5emR5JRe55H7O8Hu-nzLGZlZrAA,申請一覧・承認画面の実装,フロントエンド開発,未開始,重要,高橋 由紀,中村 麻衣,2026/06/22,2026/08/24,2026/09/18,いいえ,いいえ,,,"Predecessors:7nF2sW7tPsEi_gbEp9C44hRK2EAA,ALfHSLTUPFrLMAiBZdRfN81fOtAA
一覧はページネーション（50件/ページ）とフィルタ（期間, ステータス, 部署）に対応する。",一覧実装;フィルタ実装;承認操作実装;単体テスト,,
1b8g5UqaexHvpWoJdPSDOuGZQsAA,管理者向けダッシュボードの実装,フロントエンド開発,未開始,中,,中村 麻衣,2026/07/06,2026/09/07,2026/10/02,いいえ,いいえ,,,"Predecessors:HcjfEg3hOaoHVysFrYIemwj3M7AA,ALfHSLTUPFrLMAiBZdRfN81fOtAA
部署別の残業時間推移をグラフ表示する。担当者は9月の要員確定後にアサイン予定。",グラフライブラリ選定;画面実装,,
ZqKCt0y7f6Vw9udRSndepI8p_PAA,多言語対応（日本語/英語）の組み込み,フロントエンド開発,未開始,低,高橋 由紀,山本 拓也,2026/07/13,2026/09/14,2026/10/09,いいえ,いいえ,,,"Predecessors:ALfHSLTUPFrLMAiBZdRfN81fOtAA
i18nライブラリを導入し、辞書ファイルを分離する。日付・数値のロケール対応も含む。",ライブラリ選定;辞書ファイル整備;画面適用,,
UlhsypIHtQSM0p5c6Iab6AC0BZAA,テスト計画書の作成,テスト,完了,重要,佐藤 美咲,山本 拓也,2026/06/01,2026/06/15,2026/07/03,いいえ,いいえ,2026/07/02,佐藤 美咲,"Predecessors:ae9FpfUk3_q935wpFo-lGUsAspAA
単体、結合、システム、受入の4フェーズで計画する。",方針策定;スケジュール作成;レビュー,方針策定;スケジュール作成;レビュー,
NGAU044MGIAYNb4xna4GyWz9v7AA,テストデータの整備,テスト,進行中,中,佐藤 美咲,佐藤 美咲,2026/07/06,2026/07/27,2026/08/07,いいえ,いいえ,,,"Predecessors:fFFaIYtg_HBCbhSu1ZZOPU4j_TAA,UlhsypIHtQSM0p5c6Iab6AC0BZAA
従業員200名分のダミーデータを作成する。うち20名は月跨ぎの変則勤務パターンを含む。",マスタデータ作成;トランザクションデータ作成;検証,マスタデータ作成,
inR0E-Bss093nXHETLVfEw3YdyAA,結合テストの実施,テスト,未開始,重要,佐藤 美咲;伊藤 翔太,佐藤 美咲,2026/07/06,2026/09/07,2026/09/25,いいえ,いいえ,,,"Predecessors:8Tnecic9tpQ2hNZ9mAnBym475pAA,_5emR5JRe55H7O8Hu-nzLGZlZrAA,NGAU044MGIAYNb4xna4GyWz9v7AA
認証、勤怠登録、承認、集計の一連のシナリオを検証する。",テストケース作成;環境準備;実施;不具合起票,,
R9uDuv7anEyMnGW8bHlXQM0vUeAA,負荷テストの実施,テスト,未開始,中,鈴木 大輔,山本 拓也,2026/07/13,2026/09/21,2026/10/02,いいえ,いいえ,,,"Predecessors:inR0E-Bss093nXHETLVfEw3YdyAA
同時接続200、月初ピーク（打刻集中）を想定した負荷をかける。目標は95パーセンタイルで2秒以内。",シナリオ作成;計測環境構築;実施;チューニング,,
PDCyUOqNImQmzES948w3zP1hR_AA,脆弱性診断の手配,テスト,進行中,緊急,山本 拓也,山本 拓也,2026/07/13,2026/07/20,2026/07/31,いいえ,はい,,,"Predecessors:inR0E-Bss093nXHETLVfEw3YdyAA
外部ベンダーへの発注が未完了。診断は10月上旬を希望しているが、枠が埋まりつつあるため至急調整が必要。",ベンダー選定;見積取得;発注;日程確定,ベンダー選定;見積取得,セキュリティ;要対応;外部依存
I0HGq-3MAk4wgKAKf0nl8UKSPXAA,ユーザー受入テスト（UAT）の準備,テスト,未開始,重要,田中 健太,田中 健太,2026/07/20,2026/10/05,2026/10/23,いいえ,いいえ,,,"Predecessors:inR0E-Bss093nXHETLVfEw3YdyAA
営業部5名、人事部3名にご協力いただく。事前説明会を実施する。",参加者調整;手順書作成;説明会実施,,顧客報告
5hgwjpVPUbTtA-zkn-i66zPErcAA,本番環境の構築,リリース準備,進行中,重要,鈴木 大輔,山本 拓也,2026/07/06,2026/08/03,2026/09/04,いいえ,いいえ,,,"Predecessors:GISoCMAvQeiF-KinOPpmClVkhMAA,fFFaIYtg_HBCbhSu1ZZOPU4j_TAA
IaC（Bicep）で構成管理する。ステージング環境と構成差分を出さないこと。",ネットワーク設計;リソース作成;監視設定;バックアップ設定,ネットワーク設計,
QVe0CByHJK2u2-AvzxPHgoxMYWAA,CI/CDパイプラインの整備,リリース準備,進行中,中,伊藤 翔太,鈴木 大輔,2026/07/06,2026/07/27,2026/08/21,いいえ,いいえ,,,"Predecessors:5hgwjpVPUbTtA-zkn-i66zPErcAA
GitHub Actionsでビルド、テスト、デプロイを自動化する。mainへのマージで検証環境へ自動デプロイ。",ビルド設定;テスト自動実行;デプロイ設定,ビルド設定;テスト自動実行,
sPy32uB3ZVxV3vVOPW3hwJhIUvAA,運用手順書の作成,リリース準備,未開始,中,佐藤 美咲,山本 拓也,2026/07/20,2026/09/28,2026/10/16,いいえ,いいえ,,,"Predecessors:5hgwjpVPUbTtA-zkn-i66zPErcAA
障害対応、バッチ再実行、アカウント棚卸しの手順をまとめる。",構成の記載;障害対応手順;定期作業手順,,
yGARe3HpmCk1IvW1u_J9bRY3LGAA,利用者向けマニュアルの作成,リリース準備,未開始,低,中村 麻衣,田中 健太,2026/07/20,2026/10/05,2026/10/30,いいえ,いいえ,,,"Predecessors:8jbGZ70xNpFZz-up-pKc3XiHR2AA
一般利用者向けと承認者向けの2種類。画面キャプチャは最終版UIで差し替えること。",構成案;執筆;レビュー,,顧客報告
Gag_fbOZwvVog5eteSPZ70A9gKAA,社内説明会の開催,リリース準備,未開始,重要,田中 健太;佐藤 美咲,田中 健太,2026/07/27,2026/10/26,2026/11/06,いいえ,いいえ,,,"Predecessors:yGARe3HpmCk1IvW1u_J9bRY3LGAA
全社員向けに3回開催（各回50名想定）。録画を社内ポータルに掲載する。",日程調整;資料作成;開催;録画公開,,顧客報告
sLtJWIpHv-aofdBbHVYxOzGUwPAA,移行データの検証,リリース準備,未開始,緊急,鈴木 大輔;佐藤 美咲,山本 拓也,2026/07/27,2026/10/12,2026/10/30,いいえ,いいえ,,,"Predecessors:fFFaIYtg_HBCbhSu1ZZOPU4j_TAA,5hgwjpVPUbTtA-zkn-i66zPErcAA
旧システムの過去3年分（約48万件）を移行する。件数、金額、区分値の一致を検証する。",移行ツール作成;リハーサル;差分検証;本番移行,,要対応
mUdUMndlY44OBctvGQ0sztYKjmAA,リリース判定会議,リリース準備,未開始,緊急,山本 拓也,山本 拓也,2026/07/27,2026/11/09,2026/11/13,いいえ,いいえ,,,"Predecessors:inR0E-Bss093nXHETLVfEw3YdyAA,R9uDuv7anEyMnGW8bHlXQM0vUeAA,PDCyUOqNImQmzES948w3zP1hR_AA,I0HGq-3MAk4wgKAKf0nl8UKSPXAA,sLtJWIpHv-aofdBbHVYxOzGUwPAA
品質、性能、運用体制の3観点で判定する。",資料準備;会議実施;判定記録,,顧客報告
zYqFg0Lctf0R7LACSNEzaha8IXAA,週次進捗ミーティング,プロジェクト管理,進行中,中,山本 拓也,山本 拓也,2026/04/06,2026/08/03,2026/08/07,はい,いいえ,,,毎週月曜 10:00-10:30。前週の完了タスク、今週の予定、リスクを共有する。,アジェンダ準備;議事録作成,アジェンダ準備,
W9m6Iru3S8oZhWKlC-SG-sMPpfAA,月次ステアリングコミッティ資料の作成,プロジェクト管理,進行中,重要,山本 拓也;田中 健太,山本 拓也,2026/04/06,2026/07/27,2026/08/07,はい,いいえ,,,進捗、予算消化、課題、リスクを1枚にまとめる。,進捗集計;資料作成;事前レビュー,進捗集計,顧客報告
8MIxdsIJDe6EQ-26WmCTxAhSZvAA,課題管理表の棚卸し,プロジェクト管理,進行中,低,佐藤 美咲,山本 拓也,2026/05/11,2026/07/27,2026/07/31,はい,はい,,,オープン課題の期限と担当を見直す。2週間以上動きのない課題はエスカレーションする。,,,要対応
RNP5NN_rMhaRezvbdOgUeOtP-KAA,要員計画の見直し（9月以降）,プロジェクト管理,未開始,重要,山本 拓也,山本 拓也,2026/07/06,2026/08/10,2026/08/21,いいえ,いいえ,,,フロントエンドが逼迫しているため、1名の増員を検討する。,工数見積;調達相談;承認取得,,
ZuDrR8AmayQqUHMwWVvKdifaPQAA,プロジェクト予算の中間報告,プロジェクト管理,完了,中,山本 拓也,山本 拓也,2026/06/01,2026/06/22,2026/07/03,いいえ,いいえ,2026/07/01,山本 拓也,消化率は計画比92%。外部委託費に余裕あり。,実績集計;報告書作成,実績集計;報告書作成,
zIX099JnEXiZWAWD2PxjSHDiC6AA,開発環境のライセンス更新,プロジェクト管理,完了,低,伊藤 翔太,伊藤 翔太,2026/05/18,2026/06/01,2026/06/12,いいえ,いいえ,2026/06/10,伊藤 翔太,IDEとデザインツールのライセンスを8名分更新した。,,,
h5-LG-pAYeADt5U5M6iZ1yPY18AA,旧システムの停止判断と告知,リリース準備,未開始,低,,田中 健太,2026/07/27,,,いいえ,いいえ,,,"Predecessors:sLtJWIpHv-aofdBbHVYxOzGUwPAA
並行稼働は2026年12月末まで。停止日は移行結果を見て決定する。",,,
sjlGzPlzOK3x7VQ1Fc7SCoja46AA,スマートフォン対応の要否検討 ⚠️ 判断待ち,要件定義,未開始,中,田中 健太,山本 拓也,2026/07/13,2026/08/10,2026/08/28,いいえ,いいえ,,,"営業部から「外出先で打刻したい」との要望あり。
PWA対応か、ネイティブアプリ（iOS/Android）かを比較する。
判断は8月末の定例で仰ぐ。",要望整理;方式比較;概算見積,,要対応;顧客報告
zT5khR6R7xxDAfJFEJpZvqTLbsAA,パスワードポリシーの見直し（社内規程との整合確認、および Entra ID 条件付きアクセスの適用範囲の決定）,バックエンド開発,未開始,中,山本 拓也;鈴木 大輔,山本 拓也,2026/07/20,2026/08/24,2026/09/11,いいえ,いいえ,,,"Predecessors:NdqEHfo5zLVV1c5NedU5jLBx6YAA
情報システム部の規程では ""12文字以上、90日更新"" とされているが、Entra ID 側の推奨（更新期限なし、MFA必須）と食い違う。規程改定を含めて相談する。",規程確認;情シス相談;方針決定,,セキュリティ;外部依存
_eOGh--DLdmc4VuFKppJ-gOnvpAA,キックオフミーティング,プロジェクト管理,完了,重要,山本 拓也;田中 健太;佐藤 美咲;鈴木 大輔;渡辺 彩香,山本 拓也,2026/04/01,2026/04/01,2026/04/03,いいえ,いいえ,2026/04/03,山本 拓也,プロジェクトの目的、体制、スケジュール、コミュニケーションルールを共有した。,資料作成;会場手配;開催;議事録展開,資料作成;会場手配;開催;議事録展開,
